CODIGO_REGION|NOMBRE_REGION
23012000140|CIRCUITO 140
01013000140|CIRCUITO 140
04010000140|CIRCUITO 140
05023000140|CIRCUITO 140
0401000140A|CIRCUITO 140A
03015000141|CIRCUITO 141
23012000141|CIRCUITO 141
05024000141|CIRCUITO 141
01013000141|CIRCUITO 141
02014000141|CIRCUITO 141
04010000141|CIRCUITO 141
0401000141A|CIRCUITO 141A
04010000142|CIRCUITO 142
23012000142|CIRCUITO 142
03015000142|CIRCUITO 142
02014000142|CIRCUITO 142
05024000142|CIRCUITO 142
01013000142|CIRCUITO 142
0401000142A|CIRCUITO 142A
05024000143|CIRCUITO 143
01013000143|CIRCUITO 143
23012000143|CIRCUITO 143
02014000143|CIRCUITO 143
03015000143|CIRCUITO 143
05024000144|CIRCUITO 144
23012000144|CIRCUITO 144
01013000144|CIRCUITO 144
03016000144|CIRCUITO 144
02014000144|CIRCUITO 144
04011000144|CIRCUITO 144
0401100144A|CIRCUITO 144A
0401100144B|CIRCUITO 144B
02014000145|CIRCUITO 145
04011000145|CIRCUITO 145
03016000145|CIRCUITO 145
23012000145|CIRCUITO 145
05025000145|CIRCUITO 145
01013000145|CIRCUITO 145
0401100145A|CIRCUITO 145A
23012000146|CIRCUITO 146
01013000146|CIRCUITO 146
03016000146|CIRCUITO 146
05025000146|CIRCUITO 146
04011000146|CIRCUITO 146
0401100146A|CIRCUITO 146A
0401100146B|CIRCUITO 146B
0401100146C|CIRCUITO 146C
01013000147|CIRCUITO 147
04012000147|CIRCUITO 147
03016000147|CIRCUITO 147
23012000147|CIRCUITO 147
05025000147|CIRCUITO 147
0401200147A|CIRCUITO 147A
0401200147B|CIRCUITO 147B
02015000148|CIRCUITO 148
01014000148|CIRCUITO 148
04012000148|CIRCUITO 148
23012000148|CIRCUITO 148
03016000148|CIRCUITO 148
23012000149|CIRCUITO 149
04012000149|CIRCUITO 149
03016000149|CIRCUITO 149
02015000149|CIRCUITO 149
01014000149|CIRCUITO 149
0400100014A|CIRCUITO 14A
2300100014A|CIRCUITO 14A
0400100014B|CIRCUITO 14B
2300100014B|CIRCUITO 14B
2300100014C|CIRCUITO 14C
0400100014C|CIRCUITO 14C
0400100014D|CIRCUITO 14D
2300100014D|CIRCUITO 14D
0400100014E|CIRCUITO 14E
0400100014F|CIRCUITO 14F
0400100014G|CIRCUITO 14G
0400100014H|CIRCUITO 14H
0400100014I|CIRCUITO 14I
0400100014J|CIRCUITO 14J
0400100014K|CIRCUITO 14K
0400100014L|CIRCUITO 14L
0400100014M|CIRCUITO 14M
0400100014N|CIRCUITO 14N
0400100014O|CIRCUITO 14O
0400100014P|CIRCUITO 14P
0400100014Q|CIRCUITO 14Q
01001000015|CIRCUITO 15
06001000015|CIRCUITO 15
23001000015|CIRCUITO 15
07001000015|CIRCUITO 15
02002000015|CIRCUITO 15
04002000015|CIRCUITO 15
24002000015|CIRCUITO 15
09001000015|CIRCUITO 15
03002000015|CIRCUITO 15
05002000015|CIRCUITO 15
23012000150|CIRCUITO 150
04012000150|CIRCUITO 150
02015000150|CIRCUITO 150
03016000150|CIRCUITO 150
01014000150|CIRCUITO 150
04012000151|CIRCUITO 151
03016000151|CIRCUITO 151
02015000151|CIRCUITO 151
23012000151|CIRCUITO 151
01014000151|CIRCUITO 151
02015000152|CIRCUITO 152
04012000152|CIRCUITO 152
03016000152|CIRCUITO 152
01014000152|CIRCUITO 152
23012000152|CIRCUITO 152
0401200152A|CIRCUITO 152A
01014000153|CIRCUITO 153
23012000153|CIRCUITO 153
03016000153|CIRCUITO 153
04012000153|CIRCUITO 153
02015000153|CIRCUITO 153
0201500153A|CIRCUITO 153A
04012000154|CIRCUITO 154
03016000154|CIRCUITO 154
01014000154|CIRCUITO 154
23012000154|CIRCUITO 154
04012000155|CIRCUITO 155
01014000155|CIRCUITO 155
23012000155|CIRCUITO 155
02016000155|CIRCUITO 155
0201600155A|CIRCUITO 155A
0401200155A|CIRCUITO 155A
01014000156|CIRCUITO 156
23012000156|CIRCUITO 156
02016000156|CIRCUITO 156
04012000156|CIRCUITO 156
0201600156A|CIRCUITO 156A
0401200156A|CIRCUITO 156A
0201600156B|CIRCUITO 156B
0401200156B|CIRCUITO 156B
0401200156C|CIRCUITO 156C
0401200156D|CIRCUITO 156D
0401200156E|CIRCUITO 156E
04012000157|CIRCUITO 157
02017000157|CIRCUITO 157
01014000157|CIRCUITO 157
23012000157|CIRCUITO 157
23012000158|CIRCUITO 158
02017000158|CIRCUITO 158
04012000158|CIRCUITO 158
01015000158|CIRCUITO 158
0201700158A|CIRCUITO 158A
0401200158A|CIRCUITO 158A
0401200158B|CIRCUITO 158B
0201700158B|CIRCUITO 158B
0401200158C|CIRCUITO 158C
23012000159|CIRCUITO 159
04012000159|CIRCUITO 159
01015000159|CIRCUITO 159
02017000159|CIRCUITO 159
2300100015A|CIRCUITO 15A
0400200015A|CIRCUITO 15A
2300100015B|CIRCUITO 15B
01001000016|CIRCUITO 16
04002000016|CIRCUITO 16
23001000016|CIRCUITO 16
09001000016|CIRCUITO 16
07001000016|CIRCUITO 16
24002000016|CIRCUITO 16
05002000016|CIRCUITO 16
03002000016|CIRCUITO 16
0600100016A|CIRCUITO 16"A"
0600100016B|CIRCUITO 16"B"
0600100016C|CIRCUITO 16"C"
01015000160|CIRCUITO 160
04013000160|CIRCUITO 160
23012000160|CIRCUITO 160
02017000160|CIRCUITO 160
0401300160A|CIRCUITO 160A
